Processed 55163 csets from 2833 developers
373 employers found
A total of 0 lines added, 0 removed (delta 0)

Developers with the most changesets
Florian Westphal            18 (0.0%)
Oliver Endriss              18 (0.0%)
Martin Peres                18 (0.0%)
Simon Wunderlich            18 (0.0%)
hayeswang                   18 (0.0%)
Daniel De Graaf             18 (0.0%)
Chris Bagwell               18 (0.0%)
Paul Turner                 18 (0.0%)
Pawel Moll                  18 (0.0%)
Kautuk Consul               18 (0.0%)
Felipe Contreras            18 (0.0%)
Eugeni Dodonov              18 (0.0%)
Kyle Moffett                18 (0.0%)
Eyal Shapira                18 (0.0%)
Mark Salter                 18 (0.0%)
Andrzej Pietrasiewicz       18 (0.0%)
Santosh Nayak               18 (0.0%)
Ryusuke Konishi             17 (0.0%)
Edmund Nadolski             17 (0.0%)
Arvid Brodin                17 (0.0%)
Arnaud Patard (Rtp)         17 (0.0%)
David Brown                 17 (0.0%)
Hans Petter Selasky         17 (0.0%)
Patrik Jakobsson            17 (0.0%)
Balaji T K                  17 (0.0%)
Robin Dong                  17 (0.0%)
Fenghua Yu                  17 (0.0%)
Ricardo Neri                17 (0.0%)
Sritej Velaga               17 (0.0%)
Tom Herbert                 17 (0.0%)
Wolfgang Grandegger         17 (0.0%)
Banajit Goswami             17 (0.0%)
Lee Jones                   17 (0.0%)
Seungwon Jeon               17 (0.0%)
Jason Liu                   17 (0.0%)
Daniel Kurtz                17 (0.0%)
Geoff Levand                17 (0.0%)
Paul Zimmerman              17 (0.0%)
Jason Wessel                16 (0.0%)
Sekhar Nori                 16 (0.0%)
Wei Yongjun                 16 (0.0%)
Brian King                  16 (0.0%)
Marcin Slusarz              16 (0.0%)
Márton Németh             16 (0.0%)
Mike Waychison              16 (0.0%)
Nobuhiro Iwamatsu           16 (0.0%)
Weiping Pan                 16 (0.0%)
Rakib Mullick               16 (0.0%)
Daniel Lezcano              16 (0.0%)
Mike Rapoport               16 (0.0%)
Cliff Wickman               16 (0.0%)
Mattias Nilsson             16 (0.0%)
Jayamohan Kallickal         16 (0.0%)
Oliver Neukum               16 (0.0%)
Mitsuo Hayasaka             16 (0.0%)
Changhwan Youn              16 (0.0%)
