Nvidia                     148 (0.1%)
Tensilica                  144 (0.1%)
Secretlab                  142 (0.1%)
Xilinx                     139 (0.1%)
Microsoft                  135 (0.1%)
Nicira Networks            120 (0.1%)
Solarflare Communications  116 (0.1%)
Igalia S.L.                116 (0.1%)
INRIA                      112 (0.1%)
Asianux Consortium         111 (0.1%)
OpenSource AB              106 (0.1%)
Cogent Embedded            103 (0.1%)
Chelsio                    103 (0.1%)
Nebula                     100 (0.1%)
Tieto                       93 (0.1%)
Miracle Linux               91 (0.1%)
Taobao                      91 (0.1%)
Analog Devices              90 (0.1%)
McAfee                      83 (0.1%)
6WIND                       80 (0.1%)
Etersoft                    78 (0.1%)
CSR                         78 (0.1%)
Microtrol S.R.L.            77 (0.1%)
Cavium                      75 (0.1%)
cozybit                     72 (0.1%)
LSI Logic                   69 (0.1%)
VMWare                      65 (0.1%)
Astaro                      61 (0.1%)
NTT                         60 (0.1%)
Institute for System Programming Russian Academy of Sciences   58 (0.0%)
Coraid                      58 (0.0%)
Hitachi                     58 (0.0%)
PHILOSYS Software           58 (0.0%)
EMC                         58 (0.0%)
STRATO AG                   54 (0.0%)
secunet                     50 (0.0%)
INdT                        49 (0.0%)
Tilera                      47 (0.0%)
Adeneo                      45 (0.0%)
Katalix Systems             45 (0.0%)
Siemens                     42 (0.0%)
Vista-Silicon S.L.          39 (0.0%)
Data Storage Institute      39 (0.0%)
Shawell Technology          37 (0.0%)
Vyatta                      36 (0.0%)
Gaisler Research            36 (0.0%)
TriplePoint                 36 (0.0%)
Realtek                     35 (0.0%)
MIPS Technologies           35 (0.0%)
Animal Creek Technologies   34 (0.0%)
OMICRON Electronics         32 (0.0%)
NEC                         30 (0.0%)
MontaVista                  30 (0.0%)
KFKI Research Institute     29 (0.0%)
Chine ahead technology      29 (0.0%)
Freebox                     29 (0.0%)
Armadeus Systems            29 (0.0%)
Integrated Device Technology   28 (0.0%)
Eleven Musicproduction      28 (0.0%)
National Instruments        28 (0.0%)
Micron                      27 (0.0%)
Telit Communications        26 (0.0%)
emlix GmbH                  26 (0.0%)
PMC-Sierra                  26 (0.0%)
StreamUnlimited             26 (0.0%)
Alcatel-Lucent              25 (0.0%)
Tecent                      25 (0.0%)
Cloudius Systems            24 (0.0%)
AMA Capital Management      24 (0.0%)
South Pole AB               24 (0.0%)
Realsil Microelectronics    23 (0.0%)
Open Mesh                   23 (0.0%)
Parrot SA                   23 (0.0%)
Mentor Graphics             22 (0.0%)
Keymile AG                  22 (0.0%)
OpenBOSSA                   21 (0.0%)
Matrox Graphics             21 (0.0%)
Candela Technologies        20 (0.0%)
PetaLogix                   20 (0.0%)
Creative Technology         20 (0.0%)
Synapse Product Development   19 (0.0%)
Kyma Systems                19 (0.0%)
igel                        19 (0.0%)
Hitachi Data Systems        19 (0.0%)
Abilis Systems              19 (0.0%)
JiangSu Lemote Corp.        19 (0.0%)
BMW                         18 (0.0%)
Tk Open Systems             18 (0.0%)
Signal 11 Software          18 (0.0%)
