3.5-3.9

Processed 57498 csets from 2889 developers
387 employers found
A total of 0 lines added, 0 removed (delta 0)

Developers with the most changesets
H Hartley Sweeten         1697 (3.0%)
David Teigland               4 (0.1%)
Paolo Pisati                 4 (0.1%)
Ido Yariv                    4 (0.1%)
Simon Baatz                  4 (0.1%)
Michael Neuling              4 (0.1%)
Chris Perl                   4 (0.1%)
Artem S. Tashkinov           4 (0.1%)
Andi Kleen                   4 (0.1%)
Uwe Kleine-König            4 (0.1%)
Peter Hurley                 4 (0.1%)
Alexander Lyakas             4 (0.1%)
Chaoxing Lin                 4 (0.1%)
Arne Jansen                  4 (0.1%)
Yuchung Cheng                4 (0.1%)
Jan Engelhardt               4 (0.1%)
Jonathan                     4 (0.1%)
Alexander Duyck              3 (0.1%)
Andrew Lunn                  3 (0.1%)
Kuninori Morimoto            3 (0.1%)
Felipe Balbi                 3 (0.1%)
Henrik Rydberg               3 (0.1%)
Thierry Reding               3 (0.1%)
Richard Zhao                 3 (0.1%)
Thomas Gleixner              3 (0.1%)
Michel Lespinasse            3 (0.1%)
Ezequiel Garcia              3 (0.1%)
Viresh Kumar                 3 (0.1%)
Kay Sievers                  3 (0.1%)
Marc Kleine-Budde            3 (0.1%)
Ben Widawsky                 3 (0.1%)
Fabio Estevam                3 (0.1%)
Alex Williamson              3 (0.1%)
John Stultz                  3 (0.1%)
Santosh Shilimkar            3 (0.1%)
Antti Palosaari              3 (0.1%)
Mark Rutland                 3 (0.1%)
Andreas Schwab               3 (0.1%)
Marek Vasut                  3 (0.1%)
Guenter Roeck                3 (0.1%)
Aaro Koskinen                3 (0.1%)
Peter Huewe                  3 (0.1%)
Frederic Weisbecker          3 (0.1%)
Michael S. Tsirkin           3 (0.1%)
Emmanuel Grumbach            3 (0.1%)
Lee Jones                    3 (0.1%)
David Howells                3 (0.1%)
Heiko Carstens               3 (0.1%)
Richard W.M. Jones           3 (0.1%)
Eric Wong                    3 (0.1%)
Wojciech Dubowik             3 (0.1%)
Mika Kuoppala                3 (0.1%)
Kirill A. Shutemov           3 (0.1%)
Alex Elder                   3 (0.1%)
Felix Fietkau                3 (0.1%)
David Herrmann               3 (0.1%)
Stanislav Kinsbursky         3 (0.1%)
Christoph Fritz              3 (0.1%)
Prabhakar Lad                3 (0.1%)
Christian Borntraeger        3 (0.1%)
Pratyush Anand               3 (0.1%)
Christian Kujau              3 (0.1%)
Jim Schutt                   3 (0.1%)
Parag Warudkar               3 (0.1%)
Sylvain Munaut               3 (0.1%)
Julian Wollrath              3 (0.1%)
Tore Anderson                3 (0.1%)
Cyrill Gorcunov              3 (0.1%)
Oleksij Rempel               3 (0.1%)
Peter Moody                  3 (0.1%)
Stefan Bader                 3 (0.1%)
Annie Liu                    3 (0.1%)
Zhouping Liu                 3 (0.1%)
Pawel Sikora                 3 (0.1%)
Long Li                      3 (0.1%)
Doug Anderson                3 (0.1%)
Tom Parkin                   3 (0.1%)
Alexey Kardashevskiy         3 (0.1%)
Witold Baryluk               3 (0.1%)
William Cohen                3 (0.1%)
Toralf Förster              3 (0.1%)
Liu Bo                       3 (0.1%)
Mat Martineau                3 (0.1%)
Wolfram Sang                 3 (0.1%)
Hannes Reinecke              3 (0.1%)
Ilan Peer                    3 (0.1%)
Roland Dreier                3 (0.1%)
Sven Eckelmann               3 (0.1%)
Eric Paris                   3 (0.1%)
Teppei Kamijou               3 (0.1%)
Josh Hunt                    3 (0.1%)
Shawn Bohrer                 3 (0.1%)
Torsten Kaiser               3 (0.1%)
Mitch Harder                 3 (0.1%)
Oliver Schinagl              3 (0.1%)
Ryo Tsutsui                  3 (0.1%)
Jian Li                      3 (0.1%)
Massimo Del Fedele           3 (0.1%)
Krzysztof Kolasa             3 (0.1%)
Jérôme Poulin              3 (0.1%)
Brad Spengler                3 (0.1%)
John Covici                  3 (0.1%)
Vincent Stehlé              3 (0.1%)
Thomas Petazzoni             2 (0.1%)
Greg Rose                    2 (0.1%)
Dan Williams                 2 (0.1%)
Peter Ujfalusi               2 (0.1%)
Mel Gorman                   2 (0.1%)
Jiri Olsa                    2 (0.1%)
Laurent Pinchart             2 (0.1%)
Colin Cross                  2 (0.1%)
Alex Shi                     2 (0.1%)
Dave Chinner                 2 (0.1%)
Eric Sandeen                 2 (0.1%)
Jean-Christophe PLAGNIOL-VILLARD    2 (0.1%)
Grant Likely                 2 (0.1%)
Oleg Nesterov                2 (0.1%)
Julian Anastasov             2 (0.1%)
Charles Keepax               2 (0.1%)
Ming Lei                     2 (0.1%)
Theodore Ts'o                2 (0.1%)
Malcolm Priestley            2 (0.1%)
Matt Sealey                  2 (0.1%)
Benjamin Tissoires           2 (0.1%)
Pawel Moll                   2 (0.1%)
Alexander Graf               2 (0.1%)
Aneesh Kumar K.V             2 (0.1%)
Amerigo Wang                 2 (0.1%)
Jussi Kivilinna              2 (0.1%)
Michal Hocko                 2 (0.1%)
David Daney                  2 (0.1%)
Wei Yongjun                  2 (0.1%)
Eldad Zack                   2 (0.1%)
Imre Deak                    2 (0.1%)
Olof Johansson               2 (0.1%)
Daniel Drake                 2 (0.1%)
Richard Genoud               2 (0.1%)
Paul Parsons                 2 (0.1%)
Willy Tarreau                2 (0.1%)
Dav Hansen                   2 (0.1%)
Tetsuyuki Kobayashi          2 (0.1%)
Zlatko Calusic               2 (0.1%)
Jamie Gloudon                2 (0.1%)
Antonio Quartulli            2 (0.1%)
Joe Lawrence                 2 (0.1%)
Daniel Kurtz                 2 (0.1%)
Darrick J. Wong              2 (0.1%)
Kishon Vijay Abraham I       2 (0.1%)
Avi Kivity                   2 (0.1%)
Josh Wu                      2 (0.1%)
Simon Horman                 2 (0.1%)
Subash Patel                 2 (0.1%)
Dirk Behme                   2 (0.1%)
Subodh Nijsure               2 (0.1%)
Yang Guang                   2 (0.1%)
Pascal Chapperon             2 (0.1%)
Shuah Khan                   2 (0.1%)
Robert Richter               2 (0.1%)
Marc Dietrich                2 (0.1%)
Andrew Jones                 2 (0.1%)
Tvrtko Ursulin               2 (0.1%)
Ren, Yongjie                 2 (0.1%)
Chris Clayron                2 (0.1%)
Kyungmin Park                2 (0.1%)
Frank Schäfer               2 (0.1%)
Andy Grover                  2 (0.1%)
Prarit Bhargava              2 (0.1%)
Jassi Brar                   2 (0.1%)
Kilarski, Bernard R          2 (0.1%)
Szymon Kowalczyk             2 (0.1%)
Jamie Heilman                2 (0.1%)
Matthieu LAVIE               2 (0.1%)
Sergio Correia               2 (0.1%)
Romain Francoise             2 (0.1%)
Sean Patrick Santos          2 (0.1%)
Ronald                       2 (0.1%)
WANG Chao                    2 (0.1%)
Matthew Whitehead            2 (0.1%)
Pekka Enberg                 2 (0.1%)
Srivatsa S Bhat              2 (0.1%)
Zheng Liu                    2 (0.1%)
Tomasz Figa                  2 (0.1%)
Maarten Lankhorst            2 (0.1%)
Jouni Malinen                2 (0.1%)
Xose Vazquez Perez           2 (0.1%)
Alexander Shiyan             2 (0.1%)
Simon Wunderlich             2 (0.1%)
Adrian Knoth                 2 (0.1%)
Andre Przywara               2 (0.1%)
Arve Hjønnevåg             2 (0.1%)
Mike Frysinger               2 (0.1%)
Fernando Guzman Lugo         2 (0.1%)
Domenico Andreoli            2 (0.1%)
Douglas Gilbert              2 (0.1%)
Joseph Salisbury             2 (0.1%)
Anders Kaseorg               2 (0.1%)
Marcelo Ricardo Leitner      2 (0.1%)
Soeren Moch                  2 (0.1%)
James Nute                   2 (0.1%)
Martin Steigerwald           2 (0.1%)
feng xiangjun                2 (0.1%)
shyju pv                     2 (0.1%)
Simon Kirby                  2 (0.1%)
Christian Balzer             2 (0.1%)
Michael Leun                 2 (0.1%)
Dmitry Antipov               2 (0.1%)
Robert Lowery                2 (0.1%)
John Drescher                2 (0.1%)
Andreas Bombe                2 (0.1%)
Andreas Koch                 2 (0.1%)
Adam Williamson              2 (0.1%)
Dan Melnic                   2 (0.1%)
Johannes Hirte               2 (0.1%)
Dan van der Ster             2 (0.1%)
Florian Reitmeir             2 (0.1%)
Don Morris                   2 (0.1%)
Martin Mokrejs               2 (0.1%)
Alex Riesen                  2 (0.1%)
Mantas M.                    2 (0.1%)
Maciej Rutecki               2 (0.1%)
Sven Joachim                 2 (0.1%)
Joseph Yasi                  2 (0.1%)
Mike Christie                2 (0.1%)
Piotr Haber                  2 (0.1%)
Aristeu Rozanski             2 (0.1%)
Arik Nemtsov                 2 (0.1%)
Wanlong Gao                  2 (0.1%)
Éric Piel                   2 (0.1%)
Olaf Hering                  2 (0.1%)
Jonathan Nieder              2 (0.1%)
Andrei Emeltchenko           2 (0.1%)
Srikar Dronamraju            2 (0.1%)
David Laight                 2 (0.1%)
PaX Team                     2 (0.1%)
Bill Pemberton               2 (0.1%)
Joerg Roedel                 2 (0.1%)
Gabor Juhos                  2 (0.1%)
YOSHIFUJI Hideaki / 吉藤英明    2 (0.1%)
Peter Meerwald               2 (0.1%)
Eliad Peller                 2 (0.1%)
Tushar Behera                2 (0.1%)
Marcel Holtmann              2 (0.1%)
Steffen Klassert             2 (0.1%)
Takuya Yoshikawa             2 (0.1%)
Christoffer Dall             2 (0.1%)
Alexander Block              2 (0.1%)
Gerd Hoffmann                2 (0.1%)
Neal Cardwell                2 (0.1%)
Yan Burman                   2 (0.1%)
Herton Ronaldo Krzesinski    2 (0.1%)
Philippe De Muyter           2 (0.1%)
Tim Bird                     2 (0.1%)
OGAWA Hirofumi               2 (0.1%)
Janusz Dziedzic              2 (0.1%)
Tomas Racek                  2 (0.1%)
Raymond Yau                  2 (0.1%)
Jon Stanley                  2 (0.1%)
Artem Savkov                 2 (0.1%)
Chris Wright                 2 (0.1%)
Sebastian Riemer             2 (0.1%)
Matt Renzelmann              2 (0.1%)
Ortwin Glück                2 (0.1%)
Xie ChanglongX               2 (0.1%)
Mark Jackson                 2 (0.1%)
Cedric Voncken               2 (0.1%)
Radek Masin                  2 (0.1%)
Stevie Trujillo              2 (0.1%)
ольга крыжановская    2 (0.1%)
Chris J Arges                2 (0.1%)
Amey Bhide                   2 (0.1%)
Jorge Mora                   2 (0.1%)
Rolf Offermanns              2 (0.1%)
George Pontis                2 (0.1%)
Zheng Yan                    2 (0.1%)
Nirav Shah                   2 (0.1%)
Werner                       2 (0.1%)
Jörg Sommer                 2 (0.1%)
Sugnan Prabhu S              2 (0.1%)
Edjunior Barbosa Machado     2 (0.1%)
Rakib Mullick                2 (0.1%)
Kristian Nielsen             2 (0.1%)
Rafal Fitt                   2 (0.1%)
Joseph Glanville             2 (0.1%)
Steve                        2 (0.1%)
Tigran Mkrtchyan             2 (0.1%)
Gary E. Miller               2 (0.1%)
Gilles Chanteperdrix         2 (0.1%)
Steve Nickel                 2 (0.1%)
Stefan Beller                2 (0.1%)
Álvaro Fernández Rojas     2 (0.1%)
Glen Page                    2 (0.1%)
Nix                          2 (0.1%)
Pedro Francisco              2 (0.1%)
Ronnie Sahlberg              2 (0.1%)
Becky Bruce                  2 (0.1%)
Gui Iribarren                2 (0.1%)
Pasi Kärkkäinen            2 (0.1%)
Martin Weishart              2 (0.1%)
Eric Hopper                  2 (0.1%)
Frank Ch. Eigler             2 (0.1%)
Alexander Beregalov          2 (0.1%)
Mark Moseley                 2 (0.1%)
Dave Wysochanski             2 (0.1%)
Arto Merilainen              2 (0.1%)
Mike Williams                2 (0.1%)
Claudio Latini               2 (0.1%)
LKP project                  2 (0.1%)
Dan Franke                   2 (0.1%)
Timo Juhani Lindfors         2 (0.1%)
Jan-Michael Brummer          2 (0.1%)
Christopher S. Aker          2 (0.1%)
Pavel Šimerda               2 (0.1%)
Daniel Vetter                1 (0.0%)
Jan Kara                     1 (0.0%)
Seth Forshee                 1 (0.0%)
Matthew Vick                 1 (0.0%)
Axel Lin                     1 (0.0%)
Will Deacon                  1 (0.0%)
Adam Jackson                 1 (0.0%)
Tomasz Stanislawski          1 (0.0%)
Linus Walleij                1 (0.0%)
Paulo Zanoni                 1 (0.0%)
David Henningsson            1 (0.0%)
Rafał Miłecki              1 (0.0%)
Sarah Sharp                  1 (0.0%)
Catalin Marinas              1 (0.0%)
Richard Cochran              1 (0.0%)
Prashant Gaikwad             1 (0.0%)
Sebastian Andrzej Siewior    1 (0.0%)
Konstantin Khlebnikov        1 (0.0%)
Jon Hunter                   1 (0.0%)
Artem Bityutskiy             1 (0.0%)
Nicolas Pitre                1 (0.0%)
Daniel Mack                  1 (0.0%)
Matthew Garrett              1 (0.0%)
Mika Westerberg              1 (0.0%)
Roland Stigge                1 (0.0%)
Mohammed Shafi Shajakhan     1 (0.0%)
Jeff Layton                  1 (0.0%)
Sebastian Hesselbarth        1 (0.0%)
Rob Herring                  1 (0.0%)
Clemens Ladisch              1 (0.0%)
Stefan Assmann               1 (0.0%)
Josef Bacik                  1 (0.0%)
Johannes Weiner              1 (0.0%)
Tyler Hicks                  1 (0.0%)
Joonsoo Kim                  1 (0.0%)
Javier Martinez Canillas     1 (0.0%)
Russ Dill                    1 (0.0%)
Neil Horman                  1 (0.0%)
Lorenzo Pieralisi            1 (0.0%)
Tang Chen                    1 (0.0%)
Miklos Szeredi               1 (0.0%)
Thomas Graf                  1 (0.0%)
H. Peter Anvin               1 (0.0%)
Hiroshi DOYU                 1 (0.0%)
Heikki Krogerus              1 (0.0%)
Christoph Paasch             1 (0.0%)
Jiang Liu                    1 (0.0%)
Jason Cooper                 1 (0.0%)
Paul Mundt                   1 (0.0%)
Arnaud Patard (Rtp)          1 (0.0%)
Alexandre Pereira da Silva    1 (0.0%)
Peter Senna Tschudin         1 (0.0%)
Huang Shijie                 1 (0.0%)
David Woodhouse              1 (0.0%)
Bob Peterson                 1 (0.0%)
Paul Moore                   1 (0.0%)
Christoph Lameter            1 (0.0%)
Peter Chen                   1 (0.0%)
Sam Ravnborg                 1 (0.0%)
Anton Blanchard              1 (0.0%)
françois romieu             1 (0.0%)
Michael Ellerman             1 (0.0%)
Ondrej Zary                  1 (0.0%)
Gleb Natapov                 1 (0.0%)
Andy Shevchenko              1 (0.0%)
Chris Ball                   1 (0.0%)
Hans de Goede                1 (0.0%)
Stefan Roese                 1 (0.0%)
Jean-Francois Moine          1 (0.0%)
Jun'ichi Nomura              1 (0.0%)
Anssi Hannula                1 (0.0%)
Ruchika Kharwar              1 (0.0%)
Ludovic Desroches            1 (0.0%)
Li Zefan                     1 (0.0%)
Roy Spliet                   1 (0.0%)
Franky Lin                   1 (0.0%)
Benoit Cousson               1 (0.0%)
Oliver Neukum                1 (0.0%)
Archit Taneja                1 (0.0%)
R, Sricharan                 1 (0.0%)
Chen Gong                    1 (0.0%)
Maxime Bizon                 1 (0.0%)
Mingarelli, Thomas           1 (0.0%)
Dave Hansen                  1 (0.0%)
Luigi Semenzato              1 (0.0%)
Zhouyi Zhou                  1 (0.0%)
Eric Anholt                  1 (0.0%)
Ville Syrjälä              1 (0.0%)
Heiko Stübner               1 (0.0%)
Patrice Chotard              1 (0.0%)
Graeme Gregory               1 (0.0%)
Julia Lawall                 1 (0.0%)
Gavin Shan                   1 (0.0%)
Mikulas Patocka              1 (0.0%)
Yan, Zheng                   1 (0.0%)
Sean Young                   1 (0.0%)
Bartlomiej Zolnierkiewicz    1 (0.0%)
Lothar Waßmann              1 (0.0%)
Hiroaki SHIMODA              1 (0.0%)
Tony Breeds                  1 (0.0%)
Nick Bowler                  1 (0.0%)
Mark Asselstine              1 (0.0%)
Luis Henriques               1 (0.0%)
Ben Guthro                   1 (0.0%)
Mateusz Guzik                1 (0.0%)
Javier Martin                1 (0.0%)
Joachim Eastwood             1 (0.0%)
Govindraj.R                  1 (0.0%)
dann frazier                 1 (0.0%)
Grazvydas Ignotas            1 (0.0%)
Michael Grzeschik            1 (0.0%)
Nobuhiro Iwamatsu            1 (0.0%)
Lauri Hintsala               1 (0.0%)
Bob Liu                      1 (0.0%)
Enric Balletbo i Serra       1 (0.0%)
Fabio Baltieri               1 (0.0%)
Sekhar Nori                  1 (0.0%)
Bart Van Assche              1 (0.0%)
Alexander Holler             1 (0.0%)
Gaëtan Carlier              1 (0.0%)
Stefan Lippers-Hollmann      1 (0.0%)
Mihai Moldovan               1 (0.0%)
Steev Klimaszewski           1 (0.0%)
Vaibhav Bedia                1 (0.0%)
João Paulo Rechi Vita       1 (0.0%)
Mark Salter                  1 (0.0%)
Przemo Firszt                1 (0.0%)
Andreas Larsson              1 (0.0%)
Robert Jarzmik               1 (0.0%)
Jon Medhurst (Tixy)          1 (0.0%)
Austin Lund                  1 (0.0%)
Norbert Preining             1 (0.0%)
Piergiorgio Sartor           1 (0.0%)
Stephen Thirlwall            1 (0.0%)
Gerald Schaefer              1 (0.0%)
Rajendra Nayak               1 (0.0%)
Brian Foster                 1 (0.0%)
Jacek Danecki                1 (0.0%)
Kenneth Graunke              1 (0.0%)
Anton Vorontsov              1 (0.0%)
Jens Axboe                   1 (0.0%)
Maxime Ripard                1 (0.0%)
Ed Cashin                    1 (0.0%)
Chuck Lever                  1 (0.0%)
Dmitry Kravkov               1 (0.0%)
liu chuansheng               1 (0.0%)
Michael Holzheu              1 (0.0%)
Dylan Reid                   1 (0.0%)
Tsutomu Itoh                 1 (0.0%)
Haggai Eran                  1 (0.0%)
Ben Collins                  1 (0.0%)
Sachin Prabhu                1 (0.0%)
Anisse Astier                1 (0.0%)
Bob Copeland                 1 (0.0%)
Dave Jiang                   1 (0.0%)
Linus Luessing               1 (0.0%)
Milan Broz                   1 (0.0%)
David Sharp                  1 (0.0%)
Dave Kleikamp                1 (0.0%)
Robin Holt                   1 (0.0%)
Jason Baron                  1 (0.0%)
Nathan Zimmer                1 (0.0%)
Sergey Senozhatsky           1 (0.0%)
Andre Heider                 1 (0.0%)
Moiz Sonasath                1 (0.0%)
Bernd Schubert               1 (0.0%)
Lubomir Rintel               1 (0.0%)
Steve Capper                 1 (0.0%)
Greg Pearson                 1 (0.0%)
Jonathan Woithe              1 (0.0%)
Iwo Mergler                  1 (0.0%)
Brian Downing                1 (0.0%)
Philipp Dreimann             1 (0.0%)
Laura Abbott                 1 (0.0%)
Charles Wang                 1 (0.0%)
Calvin Walton                1 (0.0%)
Larry Woodman                1 (0.0%)
Siddhesh Poyarekar           1 (0.0%)
Daniel Hellstrom             1 (0.0%)
Tom Jackson                  1 (0.0%)
Malahal Naineni              1 (0.0%)
Valdis Kletnieks             1 (0.0%)
Holger Schurig               1 (0.0%)
Florent Fourcot              1 (0.0%)
Daniel Hazelton              1 (0.0%)
Omair Mohammed Abdullah      1 (0.0%)
Jack Mitchell                1 (0.0%)
Russ Anderson                1 (0.0%)
Ryan Press                   1 (0.0%)
David Oostdyk                1 (0.0%)
Tregaron Bayly               1 (0.0%)
Bogdan Hamciuc               1 (0.0%)
Michael Tokarev              1 (0.0%)
Sankara Muthukrishnan        1 (0.0%)
Andrew Bartlett              1 (0.0%)
Owen Kibel                   1 (0.0%)
Torsten Hilbrich             1 (0.0%)
Bret Towe                    1 (0.0%)
Franco Miceli                1 (0.0%)
Tom Horsley                  1 (0.0%)
Praveen Murali               1 (0.0%)
Florian Neuhaus              1 (0.0%)
Doug Smythies                1 (0.0%)
Shaun Reich                  1 (0.0%)
John McFarland               1 (0.0%)
Ivan Perrone                 1 (0.0%)
Daniel Gnoutcheff            1 (0.0%)
Julian Simioni               1 (0.0%)
Vladyslav                    1 (0.0%)
Tushar Gosavi                1 (0.0%)
Jesse Feddema                1 (0.0%)
Eliot Blennerhassett         1 (0.0%)
Lukas Hejtmanek              1 (0.0%)
Stephan Raue                 1 (0.0%)
Da Xue                       1 (0.0%)
Bo Wang                      1 (0.0%)
Timo Aaltonen                1 (0.0%)
Christian Tefzer             1 (0.0%)
Aleksey Spiridonov           1 (0.0%)
Duncan                       1 (0.0%)
Brian Cockrell               1 (0.0%)
Nicolas Lefebvre             1 (0.0%)
Artemy Tregubenko            1 (0.0%)
Tobias Geiger                1 (0.0%)
Andreas Messer               1 (0.0%)
Göran Uddeborg              1 (0.0%)
Michael Hench                1 (0.0%)
Roel van Meer                1 (0.0%)
Ivan Vasilyev                1 (0.0%)
Mark van Dijk                1 (0.0%)
Benoit Gschwind              1 (0.0%)
Ruan Zhijie                  1 (0.0%)
Denis Turischev              1 (0.0%)
Matthew Hall                 1 (0.0%)
Tim Bentley                  1 (0.0%)
Mario                        1 (0.0%)
Vijay Chauhan                1 (0.0%)
Benixon Dhas                 1 (0.0%)
Kin Cho                      1 (0.0%)
Eric Wustrow                 1 (0.0%)
Sebastian Zenker             1 (0.0%)
Mike Sartain                 1 (0.0%)
Thorsten Leemhuis            1 (0.0%)
Bruno Wolff III              1 (0.0%)
Norbert Warmuth              1 (0.0%)
Jeff Chua                    1 (0.0%)
Maxim Britov                 1 (0.0%)
Melanie Blower               1 (0.0%)
Hubert Lin                   1 (0.0%)
Olof Ermis                   1 (0.0%)
Tommy Cheng                  1 (0.0%)
Eddie Chapman                1 (0.0%)
Everaldo Canuto              1 (0.0%)
jongman heo                  1 (0.0%)
Dan Winner                   1 (0.0%)
Chris Hiestand               1 (0.0%)
Mathieu Chouquet-Stringer    1 (0.0%)
Pavel Lucik                  1 (0.0%)
Andrea Righi                 1 (0.0%)
Jürg Billeter               1 (0.0%)
Mike Kazantsev               1 (0.0%)
Francois Tigeot              1 (0.0%)
Torsten Luettgert            1 (0.0%)
Jan Hinnerk Stosch           1 (0.0%)
Petr Tesarik                 1 (0.0%)
Do Q.Thang                   1 (0.0%)
Francesco                    1 (0.0%)
Nikolai Spasov               1 (0.0%)
Darryl Bond                  1 (0.0%)
Thomas Voegtle               1 (0.0%)
VL                           1 (0.0%)
YunQiang Su                  1 (0.0%)
Carl A. Cook                 1 (0.0%)
Cyril B.                     1 (0.0%)
Andrew Savchenko             1 (0.0%)
Nathaniel Doherty            1 (0.0%)
Mike Qiu                     1 (0.0%)
Jamie Parsons                1 (0.0%)
Alexander Bersenev           1 (0.0%)
Andrew Clayton               1 (0.0%)
Patrik Kluba                 1 (0.0%)
Cédric Debarge              1 (0.0%)
Ryan Coe                     1 (0.0%)
Sune Mølgaard               1 (0.0%)
Vincent Blut                 1 (0.0%)
Maurizio Avogadro            1 (0.0%)
Alexey Zaytsev               1 (0.0%)
Jan-Matthias Braun           1 (0.0%)
Ugis                         1 (0.0%)
Juergen Beisert              1 (0.0%)
Oliver MÃ¶ssinger          1 (0.0%)
Tomas Pospisek               1 (0.0%)
Stefan Staedtler             1 (0.0%)
Sven Geggus                  1 (0.0%)
A Sh                         1 (0.0%)
Shimmer Huang                1 (0.0%)
Matthias Schniedermeyer      1 (0.0%)
Sean M. Pappalardo           1 (0.0%)
Sørensen, Stefan            1 (0.0%)
Ben Gray                     1 (0.0%)
Ray Strode                   1 (0.0%)
Yoann JUET                   1 (0.0%)
Vitaly V. Bursov             1 (0.0%)
Mylene Josserand             1 (0.0%)
Krishna Raman                1 (0.0%)
Nikita Tsukanov              1 (0.0%)
Clarke Wixon                 1 (0.0%)
Marco Munderloh              1 (0.0%)
Saar Maoz                    1 (0.0%)
Alex Romosan                 1 (0.0%)
Stefan Priebe                1 (0.0%)
Rodolfo Thomazelli           1 (0.0%)
Jes Sorensen                 1 (0.0%)
Adrian Bassett               1 (0.0%)
Karl Heiss                   1 (0.0%)
Andreas Fenkart              1 (0.0%)
Vincent Deffontaines         1 (0.0%)
Tomas Novotny                1 (0.0%)
Dave Helstroom               1 (0.0%)
Tim McGrath                  1 (0.0%)
Bob Bowles                   1 (0.0%)
Ilya Tumaykin                1 (0.0%)
Lonsn                        1 (0.0%)
Aurelien Jarno               1 (0.0%)
William Reich                1 (0.0%)
Kjell Braden                 1 (0.0%)
Paul Hartman                 1 (0.0%)
Dieter Nützel               1 (0.0%)
Vincent Etienne              1 (0.0%)
Christian Svensson           1 (0.0%)
Martin Storsjö              1 (0.0%)
Rob van der Heij             1 (0.0%)
Nathan Myers                 1 (0.0%)
Yanko Kaneti                 1 (0.0%)
Regid Ichira                 1 (0.0%)
Magnus Cederlöf             1 (0.0%)
Tim Sander                   1 (0.0%)
Jonathan A.                  1 (0.0%)
Carsten S.                   1 (0.0%)
Gao Guanhua-B22826           1 (0.0%)
Alun Jones                   1 (0.0%)
Thomas Rosenkrantz           1 (0.0%)
El boulangero                1 (0.0%)
Alexander Lam                1 (0.0%)
Sven Vermeulen               1 (0.0%)
Wang, Warner                 1 (0.0%)
Josh Durgin                  1 (0.0%)
Thomas Hellstrom             1 (0.0%)
Mike Turquette               1 (0.0%)
Cornelia Huck                1 (0.0%)
Philip Rakity                1 (0.0%)
Wen Congyang                 1 (0.0%)
Benoît Thébaudeau          1 (0.0%)
Jamie Iles                   1 (0.0%)
Martin Schwidefsky           1 (0.0%)
Tao Ma                       1 (0.0%)
Andrew Dahl                  1 (0.0%)
Mike Marciniszyn             1 (0.0%)
Matt Turner                  1 (0.0%)
Vineet Gupta                 1 (0.0%)
Mike Dunn                    1 (0.0%)
Shiraz Hashim                1 (0.0%)
Egbert Eich                  1 (0.0%)
Adrian Hunter                1 (0.0%)
Tomas Henzl                  1 (0.0%)
Petr Matousek                1 (0.0%)
Rikard Olsson                1 (0.0%)
Anton Altaparmakov           1 (0.0%)
Shreshtha Kumar Sahu         1 (0.0%)
John W. Linville             1 (0.0%)
Ralf Baechle                 1 (0.0%)
Chris Mason                  1 (0.0%)
Myungjoo Ham                 1 (0.0%)
Masanari Iida                1 (0.0%)
Mathias Krause               1 (0.0%)
Gao feng                     1 (0.0%)
Jayachandran C               1 (0.0%)
Liam Girdwood                1 (0.0%)
Alexander Shishkin           1 (0.0%)
Stefan Behrens               1 (0.0%)
Eric Lapuyade                1 (0.0%)
Weston Andros Adamson        1 (0.0%)
Tim Gardner                  1 (0.0%)
Cong Ding                    1 (0.0%)
Shaohua Li                   1 (0.0%)
Marcos Paulo de Souza        1 (0.0%)
Stefan Richter               1 (0.0%)
David Brown                  1 (0.0%)
Fred Isaman                  1 (0.0%)
Bastian Hecht                1 (0.0%)
Eyal Shapira                 1 (0.0%)
Boaz Harrosh                 1 (0.0%)
Emil Goode                   1 (0.0%)
Jesper Dangaard Brouer       1 (0.0%)
Andrew Vagin                 1 (0.0%)
Pravin B Shelar              1 (0.0%)
Stefan Raspl                 1 (0.0%)
Nathan Hintz                 1 (0.0%)
Tilman Schmidt               1 (0.0%)
Tobias Klauser               1 (0.0%)
Kamil Debski                 1 (0.0%)
Joern Engel                  1 (0.0%)
Andres Salomon               1 (0.0%)
Kirill Smelkov               1 (0.0%)
Peng Tao                     1 (0.0%)
Zefir Kurtisi                1 (0.0%)
J Keerthy                    1 (0.0%)
Sourav Poddar                1 (0.0%)
yan                          1 (0.0%)
Ido Reis                     1 (0.0%)
Krzysztof Hałasa            1 (0.0%)
Hans Schillstrom             1 (0.0%)
Thierry Escande              1 (0.0%)
Kent Overstreet              1 (0.0%)
Pali Rohár                  1 (0.0%)
Thomas Huehn                 1 (0.0%)
Brian Austin                 1 (0.0%)
Erik Hugne                   1 (0.0%)
Robert P. J. Day             1 (0.0%)
Duan Jiong                   1 (0.0%)
Salman Qazi                  1 (0.0%)
Tom Herbert                  1 (0.0%)
Darren Hart                  1 (0.0%)
Jovi Zhang                   1 (0.0%)
Rhyland Klein                1 (0.0%)
Denis Efremov                1 (0.0%)
Ananth N Mavinakayanahalli    1 (0.0%)
Tomas Melin                  1 (0.0%)
Willem de Bruijn             1 (0.0%)
Pontus Fuchs                 1 (0.0%)
Jiri Prchal                  1 (0.0%)
Michael Jones                1 (0.0%)
Pantelis Antoniou            1 (0.0%)
Felix Homann                 1 (0.0%)
Hein Tibosch                 1 (0.0%)
Sudeep KarkadaNagesha        1 (0.0%)
Misael Lopez Cruz            1 (0.0%)
Wei Ni                       1 (0.0%)
Suleiman Souhlal             1 (0.0%)
Todd Poynor                  1 (0.0%)
