3.5-3.9

Processed 57498 csets from 2889 developers
387 employers found
A total of 0 lines added, 0 removed (delta 0)

Developers with the most changesets
H Hartley Sweeten         1697 (3.0%)
Mugunthan V N               23 (0.0%)
Cyril Roelandt              23 (0.0%)
Tang Chen                   23 (0.0%)
Ingo Molnar                 22 (0.0%)
Cong Wang                   22 (0.0%)
Antonio Ospite              22 (0.0%)
Seungwon Jeon               22 (0.0%)
Emil Goode                  22 (0.0%)
Sergei Shtylyov             22 (0.0%)
Wey-Yi W Guy                22 (0.0%)
Anna-Maria Gleixner         22 (0.0%)
Scott Jiang                 22 (0.0%)
Mike Marciniszyn            22 (0.0%)
Syam Sidhardhan             22 (0.0%)
Michael Wang                22 (0.0%)
Gerd Hoffmann               22 (0.0%)
Shinya Kuribayashi          21 (0.0%)
liu chuansheng              21 (0.0%)
Neal Cardwell               21 (0.0%)
Wanpeng Li                  21 (0.0%)
Oliver Neukum               21 (0.0%)
Srikar Dronamraju           21 (0.0%)
Bartlomiej Zolnierkiewicz   21 (0.0%)
Helge Deller                21 (0.0%)
Igor Grinberg               21 (0.0%)
Ben Greear                  21 (0.0%)
Luis R. Rodriguez           21 (0.0%)
wwang                       21 (0.0%)
Wang Xingchao               21 (0.0%)
Toshi Kani                  21 (0.0%)
Tom Parkin                  21 (0.0%)
Yong Zhang                  20 (0.0%)
Steve French                20 (0.0%)
Jozsef Kadlecsik            20 (0.0%)
Nicolas Pitre               20 (0.0%)
Grazvydas Ignotas           20 (0.0%)
Michal Kazior               20 (0.0%)
Yasuaki Ishimatsu           20 (0.0%)
Masami Hiramatsu            20 (0.0%)
Jean Pihet                  20 (0.0%)
Robert Love                 20 (0.0%)
Karsten Keil                20 (0.0%)
Przemo Firszt               20 (0.0%)
Gerald Schaefer             20 (0.0%)
Tatyana Nikolova            20 (0.0%)
Dmitry Kravkov              20 (0.0%)
Liu, Jinsong                20 (0.0%)
Nikolay Aleksandrov         20 (0.0%)
Seth Jennings               20 (0.0%)
Jesper Dangaard Brouer      20 (0.0%)
Stefan Achatz               20 (0.0%)
Vivek Gautam                20 (0.0%)
Josh Cartwright             20 (0.0%)
Yan Burman                  20 (0.0%)
Will Drewry                 19 (0.0%)
Rabin Vincent               19 (0.0%)
Jason Gerecke               19 (0.0%)
Shmulik Ladkani             19 (0.0%)
AceLan Kao                  19 (0.0%)
Wang Sheng-Hui              19 (0.0%)
Jonas Bonn                  19 (0.0%)
Dan Magenheimer             19 (0.0%)
Yuchung Cheng               19 (0.0%)
Matt Porter                 19 (0.0%)
Mika Kuoppala               19 (0.0%)
Irina Tirdea                19 (0.0%)
Lucas Stach                 19 (0.0%)
Kumar Amit Mehta            19 (0.0%)
Frank Li                    19 (0.0%)
Wang Shilong                19 (0.0%)
Stefan Roese                18 (0.0%)
Benoît Thébaudeau         18 (0.0%)
Adrian Knoth                18 (0.0%)
Mike Turquette              18 (0.0%)
Ping Cheng                  18 (0.0%)
Srivatsa S Bhat             18 (0.0%)
Stone Piao                  18 (0.0%)
Tony Luck                   18 (0.0%)
David Spinadel              18 (0.0%)
Andrew Vagin                18 (0.0%)
Michael Hennerich           18 (0.0%)
Wanlong Gao                 18 (0.0%)
Alexandre Bounine           18 (0.0%)
Michael Holzheu             18 (0.0%)
John David Anglin           18 (0.0%)
Joe Carnuccio               18 (0.0%)
Johannes Thumshirn          18 (0.0%)
Rami Rosen                  18 (0.0%)
Mimi Zohar                  18 (0.0%)
Javier Martinez Canillas    18 (0.0%)
Bharat Bhushan              18 (0.0%)
Ramakrishna Pallala         18 (0.0%)
Arne Jansen                 18 (0.0%)
Durgadoss R                 18 (0.0%)
Alexandre Courbot           18 (0.0%)
Dimitris Papastamos         18 (0.0%)
Eduardo Valentin            18 (0.0%)
Hannes Frederic Sowa        18 (0.0%)
Ian Minett                  18 (0.0%)
Ohad Ben-Cohen              17 (0.0%)
Dave Jones                  17 (0.0%)
Deepak Sikri                17 (0.0%)
Graeme Gregory              17 (0.0%)
Alessandro Rubini           17 (0.0%)
Li Zhong                    17 (0.0%)
Yoshihiro Shimoda           17 (0.0%)
Oliver Hartkopp             17 (0.0%)
Haiyang Zhang               17 (0.0%)
Jarkko Sakkinen             17 (0.0%)
Colin Cross                 17 (0.0%)
Amit Daniel Kachhap         17 (0.0%)
David Vrabel                17 (0.0%)
Lothar Waßmann             17 (0.0%)
Kalle Valo                  17 (0.0%)
Shan Wei                    17 (0.0%)
Rupesh Gujare               17 (0.0%)
Marco Porsch                17 (0.0%)
Emil Tantilov               17 (0.0%)
Sean Paul                   17 (0.0%)
Daniel Wagner               17 (0.0%)
Cruz Julian Bishop          17 (0.0%)
Alexander Gordeev           17 (0.0%)
Shaik Ameer Basha           17 (0.0%)
Zhang Yanfei                17 (0.0%)
Boaz Harrosh                16 (0.0%)
Olaf Hering                 16 (0.0%)
Lin Ming                    16 (0.0%)
Prathyush K                 16 (0.0%)
Heikki Krogerus             16 (0.0%)
R, Sricharan                16 (0.0%)
Paul Parsons                16 (0.0%)
Claudiu Manoil              16 (0.0%)
Mark Tinguely               16 (0.0%)
Pravin B Shelar             16 (0.0%)
Huang Ying                  16 (0.0%)
Vinicius Costa Gomes        16 (0.0%)
Kautuk Consul               16 (0.0%)
Bhanu Prakash Gollapudi     16 (0.0%)
Marcel Holtmann             16 (0.0%)
Tomoya MORINAGA             16 (0.0%)
Lorenzo Pieralisi           16 (0.0%)
adam radford                16 (0.0%)
Andreas Larsson             16 (0.0%)
Sreekanth Reddy             16 (0.0%)
Merav Sicron                16 (0.0%)
Carlos Maiolino             16 (0.0%)
Sukadev Bhattiprolu         16 (0.0%)
Bruno Prémont              16 (0.0%)
Steffen Trumtrar            16 (0.0%)
Abhilash Kesavan            16 (0.0%)
Marek Belisko               16 (0.0%)
Stefan Raspl                16 (0.0%)
Or Gerlitz                  15 (0.0%)
Chris Ball                  15 (0.0%)
Tyler Hicks                 15 (0.0%)
Christian Borntraeger       15 (0.0%)
Sangbeom Kim                15 (0.0%)
Jean-Francois Moine         15 (0.0%)
Andy Gross                  15 (0.0%)
Javier Cardona              15 (0.0%)
Daniel J Blueman            15 (0.0%)
Aristeu Rozanski            15 (0.0%)
Tarun Kanti DebBarma        15 (0.0%)
Nathan Hintz                15 (0.0%)
Gianluca Gennari            15 (0.0%)
Yi Zou                      15 (0.0%)
Tilman Schmidt              15 (0.0%)
Jonas Aberg                 15 (0.0%)
Tobias Klauser              15 (0.0%)
Piotr Haber                 15 (0.0%)
Tommi Rantala               15 (0.0%)
Dave Martin                 15 (0.0%)
Martin K. Petersen          15 (0.0%)
Kevin Liu                   15 (0.0%)
Egbert Eich                 15 (0.0%)
Teppei Kamijou              15 (0.0%)
Ian Munsie                  15 (0.0%)
Mattia Dongili              14 (0.0%)
Marc Dietrich               14 (0.0%)
Kamil Debski                14 (0.0%)
Hebbar, Gururaja            14 (0.0%)
Ajay Kumar Gupta            14 (0.0%)
Andrea Arcangeli            14 (0.0%)
Marek Olšák               14 (0.0%)
Joern Engel                 14 (0.0%)
Ashok Nagarajan             14 (0.0%)
Ashish Jangam               14 (0.0%)
Corentin Chary              14 (0.0%)
Jamie Lentin                14 (0.0%)
Davidlohr Bueso             14 (0.0%)
Murali Karicheri            14 (0.0%)
Josh Wu                     14 (0.0%)
Lino Sanfilippo             14 (0.0%)
Andres Salomon              14 (0.0%)
Vyacheslav Dubeyko          14 (0.0%)
